QUARTER,MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DelayedDepartureSFO,ScheduledDepartureSFO,DelayedArrivalPHL,ScheduledArrivalPHL
3,7,7,11,24.0,52.0,19.0,19,1.0,0.0,0.0,70.0,0.0,0.0,4.0,47.0,0.0,2.0
2,6,7,13,24.0,17.0,8.0,22,1.0,24.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,5,11,-2.0,42.0,12.0,19,1.0,0.0,0.0,28.0,0.0,0.0,2.0,36.0,0.0,16.0
4,11,2,22,-1.0,26.0,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,5,11,72.0,51.0,7.0,19,1.0,0.0,0.0,30.0,0.0,40.0,0.0,0.0,0.0,0.0
1,1,1,11,0.0,23.0,5.0,19,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,7,22,-1.0,32.0,13.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
2,5,4,22,2.0,25.0,8.0,7,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,4,22,-2.0,35.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,3.0,25.0
4,10,1,22,3.0,28.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0
1,3,4,22,5.0,34.0,6.0,6,1.0,2.0,0.0,33.0,0.0,3.0,0.0,0.0,0.0,0.0
2,6,5,11,72.0,45.0,8.0,19,1.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,3,6,-2.0,42.0,6.0,14,1.0,0.0,0.0,27.0,0.0,0.0,0.0,3.0,5.0,15.0
